experiment,cdt1_deg,pcna_start,max_sig,deg_time,pcna_overlap,pcna_offset
C143,37,42,11.8167109835107,NaN,NaN,NaN
C143,14,NaN,209.464254202181,30,NaN,NaN
C143,32,39,98.7736705394542,28,14,14
C143,45,47,99.7075668253101,26,22,4
C143,50,55,17.8651540079533,NaN,NaN,NaN
C143,35,46,230.652413312826,38,16,22
C143,25,32,24.9957724196572,24,10,14
C143,25,30,32.5074894914712,22,12,10
C143,61,65,100.225846198945,24,16,8
C143,15,25,350.862381685094,30,10,20
C143,32,NaN,18.7087256310555,18,NaN,NaN
C143,8,13,63.5226274690738,22,12,10
C143,21,26,11.6773534042806,20,10,10
C143,47,54,230.563634626512,32,18,14
C143,30,NaN,240.636081859591,42,NaN,NaN
C143,22,NaN,293.30531023746,28,NaN,NaN
C143,49,58,277.657430551016,32,14,18
C143,36,46,277.886243922301,38,18,20
C143,37,47,20.4729967806972,24,4,20
C143,61,78,170.893676455826,38,4,34
C143,30,41,112.138037722702,34,12,22
C143,9,16,305.677345050843,38,24,14
C143,16,29,111.002225952679,34,8,26
C143,37,47,14.5766135104336,26,6,20
C143,33,33,196.40825576204,26,26,0
C143,61,67,260.207461621036,36,24,12
C143,46,55,140.689256006131,36,18,18
C143,57,61,116.472878629774,30,22,8
C143,36,42,186.073357947124,30,18,12
C143,6,60,69.929295374333,22,-86,108
C143,54,NaN,15.2853861735431,NaN,NaN,NaN
C143,29,31,314.016105804993,26,22,4
C143,55,56,61.8071949235608,50,48,2
C143,49,NaN,452.352632105419,38,NaN,NaN
C143,18,NaN,21.1287782529437,44,NaN,NaN
C143,16,NaN,203.080564469607,26,NaN,NaN
C143,6,16,82.6212279574589,30,10,20
C143,36,46,45.041934628536,26,6,20
C143,55,NaN,190.218190096416,26,NaN,NaN
C143,50,58,250.906558061797,32,16,16
C143,8,16,23.4554524456182,30,14,16
C143,48,NaN,98.5133046746493,30,NaN,NaN
C143,56,NaN,273.09806748089,30,NaN,NaN
C143,54,NaN,316.811153519505,34,NaN,NaN
C143,30,32,184.268135110478,26,22,4
C143,60,NaN,295.599246705574,30,NaN,NaN
C143,6,NaN,113.83046928057,28,NaN,NaN
C143,27,33,21.251646050035,24,12,12
C143,36,43,15.4421339700431,24,10,14
C143,47,NaN,492.001213591676,50,NaN,NaN
C143,57,NaN,190.919717770235,30,NaN,NaN
C143,26,NaN,242.105068494971,28,NaN,NaN
C143,34,43,133.716969743637,30,12,18
C143,48,NaN,218.436391106045,32,NaN,NaN
C143,44,NaN,67.1890972024344,32,NaN,NaN
C143,35,40,34.2725254133367,48,38,10
C143,56,NaN,191.697121356169,28,NaN,NaN
C143,53,61,37.3464815164586,NaN,NaN,NaN
C173,27,NaN,155.038268752396,42,NaN,NaN
C173,14,NaN,264.42591760721,39,NaN,NaN
C173,56,NaN,61.3464057753822,36,NaN,NaN
C173,11,NaN,94.0324998383213,21,NaN,NaN
C173,38,NaN,41.0197992874712,NaN,NaN,NaN
C173,26,NaN,130.131738647917,42,NaN,NaN
C173,19,NaN,62.4290108277812,24,NaN,NaN
C173,11,NaN,172.683273532245,36,NaN,NaN
C173,58,52,38.0032848223149,21,39,-18
C173,14,13,519.634851796944,51,54,-3
C173,34,NaN,49.3028334653364,NaN,NaN,NaN
C173,40,NaN,172.960407587052,39,NaN,NaN
C173,54,NaN,146.013468652107,39,NaN,NaN
C173,48,NaN,178.643390432416,36,NaN,NaN
C173,37,43,230.737848393029,54,36,18
C173,37,38,121.930625967769,36,33,3
C173,28,NaN,108.289815437097,42,NaN,NaN
C173,22,31,271.617464769292,51,24,27
C173,47,51,234.621153630797,36,24,12
C173,33,45,337.182517847681,51,15,36
C173,14,NaN,163.537231815243,33,NaN,NaN
C173,50,55,27.5059840046453,NaN,NaN,NaN
C173,12,NaN,164.306588106558,45,NaN,NaN
C173,36,NaN,360.789313491748,51,NaN,NaN
C173,18,19,268.319985671137,30,27,3
C173,28,32,122.042430096214,33,21,12
C173,15,NaN,230.600475618425,45,NaN,NaN
